,Poster_Link,Series_Title,Released_Year,Runtime,Genre,IMDB_Rating,Overview,Director,Star1,Star2,Star3,Star4
20,https://cdn.majorcineplex.com/uploads/movie/3886/thumb_3886.jpg,Anatomy of a Fall,2023.0,150mins,"Crime , Drama , Thriller",7.8,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the sole witness.",JUSTINE TRIET,SANDRA HÜLLER,MILO MACHADO-GRANER,SWANN ARLAUD,JEHNNY BETH
21,https://cdn.majorcineplex.com/uploads/movie/3891/thumb_3891.jpg,All Fun and Games,2023.0,76min,"Horror , Thriller",4.4,"Two kids play a game with their sadistic older cousin and awaken a cruel entity knows as ""The Skarrow.""","EREN CELEBOGLU,ARI COSTA",ASA BUTTERFIELD,LAUREL MARSDEN,NATALIA DYER,BENJAMIN EVAN AINSWORTH
22,https://cdn.majorcineplex.com/uploads/movie/3941/thumb_3941.jpg,It's Complicated,2023.0,0mins,Thai,0.0,Plot under warps.,ANUSORN SOISA-NGIM,,,,
23,https://cdn.majorcineplex.com/uploads/movie/3958/thumb_3958.jpg,Dream Scenario,2023.0,100min,"Comedy , Horror",7.4,"Hapless family man Paul Matthews (Nicolas Cage) finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. But when his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom, in this wickedly entertaining comedy from writer-director Kristoffer Borgli (Sick of Myself) and producer Ari Aster.",KRISTOFFER BORGLI,NICOLAS CAGE,MICHAEL CERA,JULIANNE NICHOLSON,DYLAN BAKER
24,https://cdn.majorcineplex.com/uploads/movie/2220/thumb_2220.jpg,Aquaman,2018.0,144min,"Action , Adventure , Sci-Fi",6.8,"An icon for over 70 years, Aquaman is the King of the Seven Seas. This reluctant ruler of Atlantis, caught between a surface world constantly ravaging the sea and Atlanteans looking to lash out in revolt, is committed to protecting the entire globe.",JAMES WAN,WILLEM DAFOE,PATRICK WILSON,NICOLE KIDMAN,JASON MOMOA
25,https://cdn.majorcineplex.com/uploads/movie/3318/bg_3318.png,Aquaman and the Lost Kingdom,2023.0,115min,"Action , Adventure , Fantasy",0.0,"Having failed to defeat Aquaman the first time, Black Manta, still driven by the need to avenge his father’s death, will stop at nothing to take Aquaman down once and for all. This time Black Manta is more formidable than ever before, wielding the power of the mythic Black Trident, which unleashes an ancient and malevolent force. To defeat him, Aquaman will turn to his imprisoned brother Orm, the former King of Atlantis, to forge an unlikely alliance. Together, they must set aside their differences in order to protect their kingdom and save Aquaman’s family, and the world, from irreversible destruction.",JAMES WAN,WILLEM DAFOE,PATRICK WILSON,BEN AFFLECK,AMBER HEARD
26,https://cdn.majorcineplex.com/uploads/movie/3884/thumb_3884.jpg,Migration,2023.0,0min,"Adventure , Animation , Comedy",0.0,"A family of ducks convinces their over-protective father to go on the vacation of a lifetime as they attempt to migrate from New England, through New York City, and ultimately down to the Bahamas.",BENJAMIN RENNER,GUYLO HOMSY,ELIZABETH BANKS,AWKWAFINA,KUMAIL NANJIANI
27,https://cdn.majorcineplex.com/uploads/movie/3665/thumb_3665.jpg,E-Sarn Zombie,2023.0,0min,"Comedy , Horror",0.0,เรื่องราวของ “อิฐ” (พีช พชร) หนุ่มหล่อไฟแรง ผู้เคร่งครัดในกฎระเบียบ ต้องมาเป็นผู้จัดการซูเปอร์มาเก็ต ที่มีแต่เรื่องชวนปวดหัวทำให้เขาพบเจอกับ “ต้นนุ่น” (ออกแบบ ชุติมณฑน์) พนักงานสาวที่มีพฤติกรรมแปลกๆ ลึกลับ เธอมักจะแอบขโมยเนื้อสดหมดอายุออกไปจากซูเปอร์มาเก็ตทำให้อิฐเกิดความสงสัยสู่การตามหาความจริง ว่าต้นนุ่นขโมยเนื้อหมดอายุออกไปเพื่ออะไร,THANAWAT EIAMJINDA,PACHARA CHIRATHIVAT,CHUTIMON CHUENGCHAROENSUKYING,JATURONG POLLABOON,CHALEUMPOL TIKUMPORNTEERAWONG
28,https://cdn.majorcineplex.com/uploads/movie/3970/thumb_3970.jpg,Awasan-Net-Na-Ri,2023.0,0min,Thai,0.0,Plot under warps.,YUTHLERT SIPPAPAK,CHICHA AMATAYAKUL,,,
29,https://cdn.majorcineplex.com/uploads/movie/3755/thumb_3755.jpg,Ghost Book,2023.0,113min,Fantasy,6.5,"The forbidden book ""The Haunted Book"" can make any wish come true, but in order to make your wish come true, you have to go through a life-threatening ordeal. What is the ordeal...!?",TAKASHI YAMAZAKI,RYÛNOSUKE KAMIKI,KAIRI JO,YUI ARAGAKI,
30,https://cdn.majorcineplex.com/uploads/movie/3814/thumb_3814.jpg,Ladybug and Cat Noir The Movie,,105min,"Action , Adventure , Animation",6.1,"A pair of Parisian high schoolers protect their city as vigilante heroes without revealing their identities to anyone, including each other.",JEREMY ZAG,CRISTINA VALENZUELA,BRYCE PAPENBROOK,KEITH SILVERSTEIN,MELA LEE
